,Retailer,Model,Topic,Keywords,Score_CA,Score_CV
32,R2,BERT,Assortment,"Assortiment,  kwaliteit,  maat,  schoenen,  broek,  kleding,  euro,  service,  product,  collectie","0,09669","0,78321"
33,R2,BERT,Advice & Helpfulness,"Advies,  geholpen,  eerlijk,  deskundig,  eerlijk,  tip,  hulp,  leiding,  geven","0,18389","0,35516"
34,R3,BERT + GPT,Customer Service & Friendliness,"Vriendelijk,  behulpzaam,  klantenservice,  aandacht,  ondersteuning,  professioneel,  communicatie,  medewerkers,  winkel,  klanten,  geholpen","0,18996","0,35376"
35,R3,BERT + GPT,Product Availability,"Assortiment,  keuze,  stock,  artikel,  producten,  cadeau,  optie,  concept,  klant,  tevredenheid","0,09975","0,57761"
36,R3,BERT + GPT,Store Experience,"Winkel,  assortiment,  kaarten,  tijdschriften,  openingstijden,  drukte,  wachtrijen,  personeel,  indeling,  cadeau","0,17838","0,66421"
37,R3,BERT + GPT,COVID-19 Measures,"Klantenkaart,  rij,  service,  druk,  looppaden,  smal,  stilstand,  maximaal,  aantal aanwezigen,  toezicht,  Corona-pandemie","0,20723","0,54169"
38,R3,GPT,Customer Service & Friendliness,"Vriendelijk,  behulpzaam,  klantvriendelijk,  gastvrij,  hulpvaardig,  attent,  servicegericht,  vriendelijkheid,  aardig,  hulp","0,16946","0,41875"
39,R3,GPT,Assortment,"Assortiment,  ruim,  groot,  breed,  gevarieerd,  tijdschrift,  product,  aanbod,  diversiteit,  uitgebreid","0,07678","0,50432"
40,R3,GPT,Store Layout,"Overzicht,  ruim,  netjes,  overzichtelijk,  winkelruimte,  inrichting,  uitstraling,  indeling,  presentatie,  sfeer","0,33459","0,77305"
41,R3,GPT,COVID-19 Measures,"Maatregelen,  afstand,  hygiëne,  veiligheid,  mondkapjes,  desinfectie,  handhav,  corona,  tijd,  maatregelen","0,09918","0,43732"
42,R3,GPT,Post-Office Services,"PostNL,  post,  postbalie,  pakket,  postzegel,  postkantoor,  postagentschap,  afhandeling","0,03362","0,53576"
43,R3,GPT,Accessibility,"Openingstijden,  bereik,  locatie,  bereikbaar,  parkeren,  opening hours,  bereikbaarheid,  locaties","0,25155","0,74191"
44,R3,GPT,Staff Knowledge,"Deskundig,  wet,  ervar,  geholpen,  meedenk,  advies,  kennis,  professioneel,  vakbekwaam","0,50000","0,25000"
45,R3,BERT,Customer Service & Friendliness,"Vriendelijkheid,  geholpen,  behulpzaam,  service,  vriendelijke,  personeel,  prima,  serviceverlening,  service,  tijdschriften","0,50000","0,40083"
46,R3,BERT,Store Layout,"Kassa,  rolstoel,  rij,  wachten,  druk,  ruimte,  lange,  klein,  vol,  onoverzichtelijk","0,12770","0,81162"
47,R3,BERT,Gifts and Gift Cards,"Kaarten,  cadeau,  cadeautje,  wenskaarten,  kaarten,  cadeaukaarten,  kado,  kaart,  keuze,  assortiment","0,03197","0,60349"
48,R3,BERT,Assortment,"Boeken,  assortiment,  boek,  leesboeken,  keuze,  aanbod,  collectie,  genre,  roman","0,26008","0,65806"
49,R4,BERT + GPT,Customer Service & Friendliness,"Vriendelijk,  behulpzaam,  service,  personeel,  maat,  kassa,  verkoopster,  kennis,  omruilen,  winkel","0,50000","0,40083"
50,R4,BERT + GPT,Store Experience,"Winkel,  vriendelijk,  assortiment,  service,  klantvriendelijkheid,  ruim opgezet,  medewerkers,  Skechers,  parkeer,  winkelervaring","0,04685","0,74699"
51,R4,BERT + GPT,Accessibility,"Overzicht,  lift,  binnenkomst,  minder valide personen,  tip top,  toegankelijkheid,  rolstoelvriendelijk,  bereikbaar","0,17421","0,74326"
52,R4,BERT + GPT,Women’s Shoes Size,"Maten,  grotere,  vrouwen,  maat,  assortiment,  merken,  passen,  schoenen,  laars,  optie","0,30051","0,60726"
53,R4,GPT,Customer Service & Friendliness,"Winkel,  vriendelijk,  personeel,  gastvrij,  helpen,  netjes,  uitstraling,  klantvriendelijk,  overzichtelijk,  uitgestald","0,03195","0,62329"
54,R4,GPT,Product Availability,"Assortiment,  keuze,  ruim,  schoen,  kinderschoen,  collectie,  diversiteit,  maten,  merken,  voorraad,  beschikbaarheid,  aanbod","0,06984","0,50259"
55,R4,GPT,Quality and Value Proposition,"Prijs,  kwaliteit,  verhouding,  betaalbaar,  prijs-kwaliteit,  promoties,  duurdere,  goedkoop,  prijsniveau,  betaal","0,19982","0,35917"
56,R4,GPT,COVID-19 Measures,"Corona,  maatregelen,  afstand,  hygiëne,  veiligheid,  mondkapjes,  desinfectie,  handhaving,  maatregelen","0,07635","0,57625"
57,R4,GPT,Waiting Times,"Kassa,  lang,  wachten,  uitchecken,  kassamedewerker,  rij,  wachttijd,  snelheid","0,08058","0,67805"
58,R4,GPT,Advice,"Advies,  deskundig,  geholpen,  hulp,  meedenkend,  geven,  aanbeveling,  juist,  professioneel,  kennis","0,19741","0,35766"
59,R4,GPT,Store Layout,"Winkel,  netjes,  ruim opgezet,  ordelijk,  schoon,  uitstraling,  opgeruimd,  sfeer,  gezellig","0,06017","0,58714"
60,R4,BERT,Customer Service & Friendliness,"Klantvriendelijkheid,  spiegels,  assortiment,  service,  vriendelijkheid,  geholpen,  behulpzaam,  personeel,  klantvriendelijk","0,17861","0,57158"
61,R4,BERT,Shoes,"Schoenen,  schoen,  maat,  passen,  sneakers,  winkel,  kinderen,  mannen,  vrouwen,  kleur","0,22585","0,83888"
62,R4,BERT,Cashier,"Kassa,  achter,  rij,  lang,  stond,  cassiere,  tijd,  wacht,  lijn,  druk","0,27145","0,57018"
63,R4,BERT,Product Quality,"Assortiment,  maten,  keuze,  prijs,  kwaliteit,  prijs-kwaliteit,  producten,  optie,  maat,  optie","0,08197","0,57785"
64,R4,BERT,Store Experience,"Winkel,  zaal,  personeel,  vriendelijke,  fijne,  overzichtelijk,  netjes,  uitstraling,  overzichtelijk,  klantvriendelijk","0,18672","0,45049"
65,R5,BERT + GPT,Customer Service & Friendliness,"Vriendelijkheid,  medewerkers,  service,  klantvriendelijk,  winkel,  schoenen,  klantvriendelijkheid,  advies,  hulp,  vriendelijk","0,18689","0,59958"
66,R5,BERT + GPT,Staffing Issues,"Personeel,  aannemen,  opleiden,  service,  druk,  kinderafdeling,  wachten,  vriendelijk,  begrip,  tevreden","0,50000","0,38353"
67,R5,BERT + GPT,Assortment,"Assortiment,  maten,  voorraad,  keuze,  merken,  ruim,  passen,  aanbod,  schoenen,  diversiteit","0,17400","0,42388"
68,R5,BERT + GPT,Store Layout,"Winkel,  overzichtelijk,  ruim opgezet,  netjes,  uitstraling,  inrichting,  licht,  sfeer,  gezellig","0,11811","0,43520"
69,R5,BERT + GPT,Customer Service & Friendliness,"Beschikbaarheid,  lange,  wachttijden,  lijn,  service,  wachten,  kassapersoneel,  klantgerichtheid,  chaotisch,  communicatie","0,23211","0,44252"
70,R5,GPT,Customer Service & Friendliness,"Vriendelijk,  behulpzaam,  klantvriendelijk,  deskundig,  goed geholpen,  attent,  warm,  servicegericht,  gastvrij,  aandacht","0,50000","0,25000"
71,R5,GPT,Assortment,"Assortiment,  keuze,  collectie,  maten,  merken,  ruim,  voorraad,  variatie,  aanbod,  diversiteit","0,04848","0,63259"
72,R5,GPT,Waiting Times,"Lang,  wachten,  druk,  wachtrij,  personeel,  tekort,  snel,  geholpen,  efficientie,  aanwezig,  overbelast","0,09876","0,67402"
73,R5,GPT,Online Shopping and Ordering,"Online besteld,  webshop,  bezorging,  retour,  internet,  eenvoudig,  bestelling,  systeem,  lever","0,00757","0,56490"
74,R5,GPT,Value Proposition,"Kwaliteit,  tevreden,  goed,  advies,  prijs,  prijs-kwaliteit,  aanbieding,  merk,  duurzaamheid","0,09571","0,43809"
75,R5,GPT,Customer Feedback & Suggestions,"Verbeterpunt,  suggestie,  idee,  aanbeveling,  verand,  beter,  ruimte,  optimalisatie","0,18713","0,54171"
76,R5,GPT,Store Layout,"Overzichtelijk,  ruim opgezet,  gezellig,  sfeer,  net,  uitstraling,  inrichting,  licht,  netjes","0,21542","0,35384"
77,R5,BERT,Customer Service & Friendliness,"Klantvriendelijk,  klantvriendelijkheid,  service,  vriendelijk,  personeel,  behulpzaam,  sociaal,  behulpzaam,  geholpen,  hulp","0,50000","0,40083"
78,R5,BERT,Waiting Times,"Kassa,  wachten,  lang,  weinig,  personeel,  druk,  rij,  klanten,  checkout,  erg","0,12347","0,54678"
79,R5,BERT,Store Layout,"Winkel,  zaal,  fijne,  ruimte,  overzichtelijk,  uitstraling,  ruim opgezet,  indeling,  keus,  groter","0,06230","0,58887"
80,R5,BERT,Assortment,"Assortiment,  merken,  collectie,  ruim,  aanbod,  schoenen,  maten,  optie,  passen,  schoen","0,09328","0,71160"
81,R5,BERT,Advice,"Advies,  goed,  geven,  deskundig,  eerlijk,  prima,  gewoon,  tip,  hulp,  tevreden","0,19496","0,55432"
